Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Ocean Life,,,,,,15,10,24,Across,WAVES,Rolling motion on the ocean's surface,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,4,11,25,Across,ALGAE,Simple ocean plants,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,0,12,26,Across,KELP,Large brown ocean plant,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,14,12,27,Across,LIMPET,Cone-shaped ocean mollusk,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,7,13,29,Across,KRILL,"Small ocean crustaceans, whale food",,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,16,14,30,Across,CRAB,Sideways-walking ocean creature,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,1,15,32,Across,SEAL,Fin-footed ocean mammal,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,7,15,34,Across,OYSTER,Bivalve ocean mollusk,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,8,17,37,Across,DOLPHIN,Intelligent ocean mammal,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,3,18,38,Across,SHARK,Feared ocean predator,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,8,19,39,Across,MERMAID,"Mythical ocean dweller, half-fish",,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,1,0,2,Down,EEL,"Long, snake-like ocean fish",,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,5,0,3,Down,FLOUNDER,Flat ocean fish,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,7,0,4,Down,SALINITY,Saltiness of ocean water,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,9,1,5,Down,LOBSTER,Large edible ocean crustacean,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,15,1,7,Down,NAUTICAL,Related to ships or the ocean,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,17,1,8,Down,COAST,The edge of a land mass where it meets the sea,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,3,2,9,Down,STARFISH,Star-shaped ocean echinoderm,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,11,2,10,Down,OCTOPUS,Eight-armed ocean creature,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,13,3,11,Down,TIDES,Daily rise and fall of ocean levels,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,1,4,13,Down,REEF,Underwater ridge of rock or coral,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,19,5,15,Down,WALRUS,Large-tusked Arctic ocean mammal,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,2,9,18,Down,SEALIFE,General term for ocean organisms,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,5,9,19,Down,ISLAND,Land mass surrounded by ocean,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,7,9,20,Down,PLANKTON,"Tiny ocean organisms, base of food chain",,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,10,9,21,Down,CORAL,Colorful marine life forming reefs,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
